Date : 2023-05-12 09:28:17
Directory : c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction
Total : 70 files,  11784 codes, 62 comments, 632 blanks, all 12478 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         61 |      5,839 |         60 |        565 |      6,464 |
| JSON       |          3 |      5,722 |          0 |          3 |      5,725 |
| CSS        |          3 |        198 |          2 |         49 |        249 |
| Markdown   |          2 |         21 |          0 |         15 |         36 |
| XML        |          1 |          4 |          0 |          0 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |         70 |     11,784 |         62 |        632 |     12,478 |
| . (Files)                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| frontend                                                                                                                                            |         69 |     11,783 |         62 |        632 |     12,477 |
| frontend (Files)                                                                                                                                    |          7 |      5,780 |          2 |         22 |      5,804 |
| frontend\components                                                                                                                                 |         45 |      5,298 |         49 |        489 |      5,836 |
| frontend\components\Admin                                                                                                                           |         18 |      1,793 |         15 |        129 |      1,937 |
| frontend\components\Admin (Files)                                                                                                                   |          8 |        955 |         15 |         78 |      1,048 |
| frontend\components\Admin\PriceUpdates                                                                                                              |         10 |        838 |          0 |         51 |        889 |
| frontend\components\Admin\PriceUpdates (Files)                                                                                                      |          6 |        710 |          0 |         40 |        750 |
| frontend\components\Admin\PriceUpdates\Tabs                                                                                                         |          4 |        128 |          0 |         11 |        139 |
| frontend\components\OtherComponents                                                                                                                 |         11 |      1,407 |          9 |         93 |      1,509 |
| frontend\components\Quote                                                                                                                           |          4 |        428 |         20 |         33 |        481 |
| frontend\components\quoteComponents                                                                                                                 |         12 |      1,670 |          5 |        234 |      1,909 |
| frontend\hooks                                                                                                                                      |          3 |        252 |          1 |         38 |        291 |
| frontend\lib                                                                                                                                        |          1 |         17 |          5 |          6 |         28 |
| frontend\pages                                                                                                                                      |          8 |        174 |          1 |         19 |        194 |
| frontend\public                                                                                                                                     |          1 |          4 |          0 |          0 |          4 |
| frontend\styles                                                                                                                                     |          3 |        198 |          2 |         49 |        249 |
| frontend\utils                                                                                                                                      |          1 |         60 |          2 |          9 |         71 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\README.md                                                           | Markdown   |          1 |          0 |          0 |          1 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\.eslintrc.json                                             | JSON       |          3 |          0 |          1 |          4 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\README.md                                                  | Markdown   |         20 |          0 |         15 |         35 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\AdminDashboard.js                         | JavaScript |         80 |          0 |          7 |         87 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\AdminPage.js                              | JavaScript |         78 |          0 |         12 |         90 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\ImageHandler.js                           | JavaScript |        318 |          2 |         27 |        347 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\JobListings.js                            | JavaScript |        174 |          0 |          9 |        183 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\AddMaterialForm.js           | JavaScript |        115 |          0 |          9 |        124 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\DeckPatioExtras.js           | JavaScript |         27 |          0 |          0 |         27 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\FetchMaterials.js            | JavaScript |          0 |          0 |          2 |          2 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\GetMaterialsRef.js           | JavaScript |         63 |          0 |         12 |         75 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\MaterialListItem.js          | JavaScript |         35 |          0 |          2 |         37 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\PriceUpdatesHandler.js       | JavaScript |        470 |          0 |         15 |        485 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\BathroomTiersTabs.js    | JavaScript |         38 |          0 |          2 |         40 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\ExteriorMaterialTabs.js | JavaScript |         28 |          0 |          2 |         30 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\KitchenMaterialTabs.js  | JavaScript |         28 |          0 |          2 |         30 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\Tabs.js                 | JavaScript |         34 |          0 |          5 |         39 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\ServicesHandler.js                        | JavaScript |        125 |         13 |         10 |        148 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\TestimonialsHandler.js                    | JavaScript |        150 |          0 |          9 |        159 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\kitchenExtras.js                          | JavaScript |         30 |          0 |          3 |         33 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\test.js                                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\AboutUs.js                      | JavaScript |        159 |          0 |          9 |        168 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Careers.js                      | JavaScript |        235 |          3 |         17 |        255 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Footer.js                       | JavaScript |        119 |          3 |          8 |        130 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Gallery.js                      | JavaScript |        101 |          0 |          8 |        109 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Jumbotron.js                    | JavaScript |         60 |          0 |          6 |         66 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\MobileMenu.js                   | JavaScript |        140 |          0 |          4 |        144 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Navbar.js                       | JavaScript |        165 |          0 |         10 |        175 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Services.js                     | JavaScript |         90 |          3 |         11 |        104 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Testimonials.js                 | JavaScript |         85 |          0 |         10 |         95 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\WhoWeAre.js                     | JavaScript |        163 |          0 |          4 |        167 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\WhyChooseUs.js                  | JavaScript |         90 |          0 |          6 |         96 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\EstimateCalculator.js                     | JavaScript |        101 |          0 |          4 |        105 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\ProjectForm.js                            | JavaScript |         35 |          0 |          3 |         38 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\ProjectTypes.js                           | JavaScript |         28 |          0 |          5 |         33 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\Quote.js                                  | JavaScript |        264 |         20 |         21 |        305 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomForm.js                 | JavaScript |        351 |          5 |         57 |        413 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\CoatingsForm.js                 | JavaScript |         67 |          0 |         11 |         78 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ConcreteForm.js                 | JavaScript |         63 |          0 |         12 |         75 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ContactForm.js                  | JavaScript |         66 |          0 |          3 |         69 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\DeckPatioForm.js                | JavaScript |        145 |          0 |         24 |        169 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\EpoxyForm.js                    | JavaScript |         67 |          0 |         11 |         78 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForm.js                 | JavaScript |        226 |          0 |         30 |        256 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\FlooringForm.js                 | JavaScript |         74 |          0 |         11 |         85 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\InteriorForm.js                 | JavaScript |        158 |          0 |         25 |        183 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenForm.js                  | JavaScript |        383 |          0 |         40 |        423 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\RenderSwitch.js                 | JavaScript |         28 |          0 |          2 |         30 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\drywallOption.js                | JavaScript |         42 |          0 |          8 |         50 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useAuth.js                                           | JavaScript |         35 |          0 |          8 |         43 |
