"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\AdminPage.js", "JavaScript", 0, -4, 0, 0, 0, -1, -5
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Careers.js", "JavaScript", 0, 12, 0, 0, 0, 0, 12
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Footer.js", "JavaScript", 0, 9, 0, 0, 1, 1, 11
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Gallery.js", "JavaScript", 0, 4, 0, 0, 0, 3, 7
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\MobileMenu.js", "JavaScript", 0, 4, 0, 0, 0, 3, 7
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Navbar.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\WhyChooseUs.js", "JavaScript", 0, 6, 0, 0, 0, 1, 7
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\EstimateCalculator.js", "JavaScript", 0, -19, 0, 0, 0, 0, -19
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\Quote.js", "JavaScript", 0, -8, 0, 0, 0, 1, -7
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomForm.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\ShowerTubForm.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\SinkForm.js", "JavaScript", 0, 3, 0, 0, 0, 0, 3
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\ToiletForm.js", "JavaScript", 0, 3, 0, 0, 0, 0, 3
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForm.js", "JavaScript", 0, -100, 0, 0, 0, -4, -104
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForms\RoofingForm.js", "JavaScript", 0, 84, 0, 0, 0, 15, 99
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForms\SidingForm.js", "JavaScript", 0, 85, 0, 0, 0, 20, 105
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\FlooringForm.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\InteriorForm.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenForm.js", "JavaScript", 0, -156, 0, 0, 0, -11, -167
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenMaterialsForms\CabinetsForm.js", "JavaScript", 0, 99, 0, 0, 0, 14, 113
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenMaterialsForms\CountertopsForm.js", "JavaScript", 0, 91, 0, 0, 0, 14, 105
