"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 15, 35
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\AdminDashboard.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\AdminPage.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 11, 85
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\ImageHandler.js", "JavaScript", 318, 0, 0, 0, 0, 0, 0, 2, 27, 347
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\JobListings.js", "JavaScript", 174, 0, 0, 0, 0, 0, 0, 0, 9, 183
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\AddMaterialForm.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 9, 124
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\DeckPatioExtras.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\FetchMaterials.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\GetMaterialsRef.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 12, 75
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\MaterialListItem.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\PriceUpdatesHandler.js", "JavaScript", 470, 0, 0, 0, 0, 0, 0, 0, 15, 485
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\BathroomTiersTabs.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\ExteriorMaterialTabs.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
